Description,Start Date,End Date,Quantity,Unit,tCO2e,Month
Waste Management,2023-09-22,2023-09-22,12.9,dollars,0.008986923675,Sep '23
Waste Management,2023-09-22,2023-09-22,44.22,dollars,0.030806338365,Sep '23
