Description,Start Date,End Date,Quantity,Unit,tCO2e,Month,Material Type
Ethanol,2023-09-05,2023-09-18,4.9,gallons,0.031057621,Sep '23,Ethanol
Gas,2023-09-05,2023-09-05,3.572,gallons,0.034570862596,Sep '23,Gas
