Description,Start Date,End Date,Quantity,Unit,tCO2e,Month,Material Type
Waste Management,2021-10-22,2021-11-05,40.0,dollars,0.02786643,Nov '21,
Waste Management,2021-10-22,2021-10-22,40.0,dollars,0.02786643,Oct '21,
Waste Management,2021-10-15,2021-10-22,30.0,dollars,0.0208998225,Oct '21,
Waste Management,2021-10-15,2021-10-15,40.0,dollars,0.02786643,Oct '21,
Waste Management,2021-10-13,2021-10-15,25.0,dollars,0.01741651875,Oct '21,
Waste Management,2021-10-01,2021-10-13,25.0,dollars,0.01741651875,Oct '21,
Waste Management,2021-09-24,2021-10-01,25.0,dollars,0.01741651875,Oct '21,
Waste Management,2021-09-11,2021-09-24,40.0,dollars,0.02786643,Sep '21,
Gas,2021-09-14,2021-09-21,5.6,gallons,0.0541984407999999,Sep '23,Gas
Gas,2021-08-02,2021-09-14,4.9,gallons,0.0474236357,Sep '23,Gas
Waste Management,2021-08-27,2021-09-11,20.0,dollars,0.013933215,Sep '21,
Waste Management,2021-08-13,2021-08-27,25.0,dollars,0.01741651875,Aug '21,
Waste Management,2021-07-24,2021-08-13,40.0,dollars,0.02786643,Aug '21,
Gas,2021-07-14,2021-08-02,5.454,gallons,0.052785410022,Aug '23,Gas
Waste Management,2021-07-24,2021-07-24,14.0,dollars,0.0097532505,Jul '21,
Waste Management,2021-07-18,2021-07-24,14.0,dollars,0.0097532505,Jul '21,
Waste Management,2021-07-14,2021-07-18,20.0,dollars,0.013933215,Jul '21,
Waste Management,2021-06-25,2021-07-14,20.0,dollars,0.013933215,Jul '21,
Gas,2021-06-17,2021-07-14,6.0,gallons,0.058069758,Jul '23,Gas
Waste Management,2021-06-16,2021-06-25,25.0,dollars,0.01741651875,Jun '21,
Gas,2021-06-11,2021-06-17,40.19,dollars,0.0807125946980682,Jun '23,Gas
Waste Management,2021-05-21,2021-06-16,14.0,dollars,0.0097532505,Jun '21,
Gas,2021-06-03,2021-06-11,39.06,dollars,0.0784432433169083,Jun '23,Gas
Gas,2021-05-24,2021-06-03,37.02,dollars,0.0743463611774691,Jun '23,Gas
Gas,2021-05-16,2021-05-24,10.246,gallons,0.099163790078,May '23,Gas
Waste Management,2021-05-06,2021-05-21,20.0,dollars,0.013933215,May '21,
Gas,2021-05-09,2021-05-16,41.0,dollars,0.0823392979004926,May '23,Gas
Gas,2021-04-30,2021-05-09,7.751,gallons,0.0750164490429999,May '23,Gas
Waste Management,2021-04-24,2021-05-06,20.0,dollars,0.013933215,May '21,
Gas,2021-04-25,2021-04-30,43.01,dollars,0.0863759317731752,Apr '23,Gas
Gas,2021-04-24,2021-04-25,39.02,dollars,0.0783629122945663,Apr '23,Gas
Waste Management,2021-04-04,2021-04-24,11.0,dollars,0.00766326825,Apr '21,
Gas,2021-04-23,2021-04-24,14.37,dollars,0.0288589197763433,Apr '23,Gas
Waste Management,2021-03-03,2021-04-04,10.0,dollars,0.0069666075,Apr '21,
Waste Management,2021-02-28,2021-03-03,40.0,dollars,0.02786643,Mar '21,
Waste Management,2021-02-24,2021-02-28,17.0,dollars,0.01184323275,Feb '21,
Waste Management,2021-02-06,2021-02-24,40.0,dollars,0.02786643,Feb '21,
Waste Management,2021-02-06,2021-02-06,23.0,dollars,0.01602319725,Feb '21,
